image_name,x1,x2,y1,y2
1467891670691DSC_0582.png,81,548,88,424
1475151786691DSC00560.png,231,409,118,417
1480334114405_R2A3620.png,199,424,99,367
JPEG_20160712_161047_1000606860114.png,182,506,59,416
JPEG_20160403_174522_-1137349501.png,90,519,42,376
1472901299234DSC_3812.png,59,569,90,414
JPEG_20160711_122349_1000194202357.png,211,437,53,447
1477045740188DSC_8170.png,72,630,51,430
14581995558443A.png,161,482,119,381
JPEG_20161116_182832_100030341860.png,37,554,0,477
JPEG_20160530_192334_1000619661289.png,244,376,158,336
JPEG_20161125_191952_1000927237615.png,92,532,157,316
JPEG_20160628_134746_100032377535.png,83,575,136,348
1480939320625_R2A1891.png,180,415,101,427
147443927352511472729987648-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-4651472729987609-2.png,3,639,107,332
JPEG_20161121_172758_1000839911129.png,65,633,58,480
JPEG_20161129_143202_1000894632165.png,83,491,109,396
JPEG_20161125_141831_1000294007448.png,95,504,19,438
JPEG_20161117_131149_1000923828142.png,152,488,109,378
1469623981884JPEG_20160628_124209_1000257249432.png,211,428,112,400
1472628968429w_molokini_ii_blk_grl_03.png,121,495,220,412
JPEG_20160831_090533_1000336033861.png,63,603,11,475
JPEG_20160527_164502_1000310382860.png,113,483,52,357
JPEG_20160621_103352_1000549045846.png,188,594,85,386
1476528074556Untitled4.png,187,457,21,454
1480964822711IMG_3035.png,209,446,223,336
JPEG_20161123_170728_1000761896744.png,254,343,51,430
1476773279562DSC_8615.png,52,600,51,432
1469433305869DSC_0033.png,148,610,1,418
1472821248194DSC_2930.png,68,428,110,304
147444083818811472209501113-Roadster-Men-Navy-Blue-Printed-Round-Neck-T-Shirt-5991472209500910-4.png,0,639,116,352
1479750872610SpringField16-11-201610499.png,30,619,143,359
1480944525953_R2A1980.png,190,410,209,379
JPEG_20161208_144423_1000780002708.png,77,588,139,326
1467979429468DSC_0058.png,121,547,153,323
1469255167073DSC_0346.png,18,634,82,422
1468885065003DSC_0390.png,77,575,73,434
1474637936707DSC06844.png,38,614,65,311
JPEG_20160810_152538_1000534824862.png,185,446,46,444
1473418104422black-khloe-modal-midi-dress3.png,5,634,121,317
JPEG_20160513_125940_1000549738784.png,53,640,129,330
1474630562288DSC08174.png,30,627,103,360
1472044297722DSC_0444.png,200,582,39,348
1480516814377E-mazingshawls29-11-201618367.png,43,625,7,479
1471628051330AddProductView.png,8,640,0,480
1478945654545eMazingShawls3720.png,13,623,164,351
1478947686456eMazingShawls3775.png,30,602,147,333
JPEG_20160711_112931_1000790648239.png,275,386,19,393
1474285179478PS-440196.png,212,505,172,330
JPEG_20161104_131946_1000989886724.png,33,616,5,444
147742624416620161025_142336.png,117,547,64,328
1480605949434_R2A6043.png,177,436,98,414
1469441347577DSC_0153.png,84,520,34,443
1468497064664DSC_0013.png,72,493,26,455
147444920462511469010981406-Mast--Harbour-Women-Black-Wedges--1821469010981220-1.png,54,598,25,472
JPEG_20160820_160818_1000529574766.png,239,395,30,468
147336093666811.png,202,445,47,434
1473231545775DeeplearnS11336.png,44,590,69,355
1473225536011PNG_9682.png,143,491,29,468
JPEG_20160421_133640_100017912101.png,27,585,128,294
1470749947263DSC_0019.png,3,633,2,480
JPEG_20160711_160644_1000143316461.png,190,514,140,297
JPEG_20160622_101942_1000586477601.png,99,569,124,398
1474634564301DSC05925.png,76,601,92,376
JPEG_20160621_113529_1000866923181.png,136,542,115,342
1474637521667DSC06781.png,24,617,67,354
1467740066693DSC_0101.png,179,386,141,429
147394552763411472560291748-Louis-Philippe-Brown-Ultra-Fit-Single-Breasted-Blazer-3361472560291540-4.png,7,639,167,334
JPEG_20161202_174452_1000344284118.png,61,640,85,354
14765286186304.png,69,584,3,464
JPEG_20160526_165723_1000363196839.png,128,469,0,468
1472628938044w_molokini_ii_blk_glry_01.png,144,497,213,397
1468411767118DSC_0377.png,95,575,23,472
147323549746360143_XXX_v1.png,124,495,91,374
1475559170722navy-camoflauge-floral-wasting-time-dress.png,0,633,41,408
1468665307453JPEG_20160712_161218_1000974583482.png,215,559,87,351
1470922101907DSC_0237.png,27,637,114,415
JPEG_20160513_143421_1000880011272.png,251,519,96,401
JPEG_20161125_192936_100072040865.png,27,623,131,376
147444115153611472727530823-Roadster-Men-Grey-Melange-Printed-T-Shirt-9021472727530896-2.png,1,637,103,430
1476530709615DSC_48571.png,191,455,43,446
1479453153634Sin16-11-201611274.png,45,619,154,323
JPEG_20161102_161838_1000553142087.png,85,499,12,473
1473837927553DSC_5901.png,0,532,0,480
1467982262655DSC_0020.png,86,599,61,449
1473418082472black-kasey-v-neck-shift-dress.png,0,638,97,390
1469431208654DSC_0006.png,73,566,86,356
JPEG_20160627_111128_1000792292917.png,134,564,130,330
1473749861454IMG_1145.png,169,585,22,464
1472040810208w_peg_33_white_black_pink_03.png,93,555,92,419
1468846444578DSC_0272.png,6,532,67,410
JPEG_20161124_163039_1000728943777.png,177,483,41,390
JPEG_20160820_110116_1000778504855.png,263,363,82,421
1474711408767G2.png,90,418,17,343
1473749624462IMG_1174.png,10,625,174,395
1476860487551DSC_5649.png,38,621,1,471
1473231439135DeeplearnS11429.png,80,564,134,334
1472132432220DSC_0059.png,66,528,48,454
1475059845896DSC02404.png,37,631,92,356
JPEG_20161205_114001_1000254306960.png,48,491,6,462
1473750824594IMG_1031.png,79,610,181,333
1479158173735SinDenim12-11-20166751.png,0,634,73,414
JPEG_20161123_173647_1000600345662.png,272,352,25,415
JPEG_20161123_165707_1000305061541.png,200,462,42,391
1473231549663DeeplearnS11338.png,83,640,0,455
JPEG_20161126_121740_1000725504928.png,146,601,121,381
1473660967213DeeplearnS11248.png,46,603,101,389
1476785865049DSC_6784.png,91,553,159,346
1472288003019DSC_1710.png,1,544,14,480
JPEG_20160713_153002_100025423653.png,5,638,85,385
1472456863502DSC_1254.png,22,615,58,435
1474701525494DSC06953.png,189,393,47,433
147185858229820160817_145402.png,156,400,125,355
147437379273711473139153532-Roadster-Blue-Top-8161473139153276-2.png,10,636,79,457
JPEG_20160608_111129_1000168336490.png,175,408,24,390
1476883971112Untitled1.png,5,552,4,476
JPEG_20161123_174231_1000104878323.png,287,361,141,405
JPEG_20160810_110735_1000281841347.png,140,495,166,313
JPEG_20161028_151027_1000789295535.png,15,640,47,472
JPEG_20161126_123417_1000757906790.png,122,387,97,433
1469524779746DSC_0463.png,320,442,161,298
1479747294084SpringField16-11-201610820.png,0,637,91,400
JPEG_20160607_164354_1000425608121.png,52,553,57,431
1473418133263black-last-summer-maxi-dress2.png,2,640,151,352
147742613168120161025_160256.png,146,459,8,476
1476780044882DSC_6482.png,1,556,0,480
1468843548786DSC_0007.png,71,425,0,284
1478446796029DSC_2718.png,0,602,94,441
147444973626711473239803034-Mast--Harbour-Men-Blue-Printed-Regular-Boat-Shoes-3651473239802717-1.png,40,602,43,466
1481266172592DSC_0484.png,15,628,2,468
1467785811314DSC_0049.png,239,443,145,296
1477053628718DSC_8356.png,74,597,25,396
1472550995651DSC_1984.png,2,599,39,455
JPEG_20160524_153623_100059952343.png,164,452,64,444
1467891465126DSC_0648.png,11,603,160,315
JPEG_20160711_152752_1000672215282.png,197,475,69,445
1468667779771JPEG_20160712_145455_100079672619.png,157,565,75,413
1474115162012blush-leiluna-day-dress.png,5,636,79,391
JPEG_20161120_162332_1000773345753.png,191,481,24,411
JPEG_20160629_154719_100068674337.png,45,601,118,318
JPEG_20161207_171238_1000598923495.png,129,494,39,452
1475151221649DSC00458.png,287,449,21,457
1473748047485IMG_0477.png,72,508,88,401
1474123452574BRT467353-2.png,183,495,200,295
147772316843520161028_165054.png,70,551,93,332
JPEG_20160530_190527_1000205515013.png,169,318,191,287
JPEG_20161125_183420_1000895347198.png,91,491,180,303
JPEG_20161207_151642_1000616285603.png,0,640,0,480
1475063089796DSC00134.png,163,540,31,434
JPEG_20160629_163810_1000280214856.png,2,618,148,330
1462876582450DSC_0496.png,222,454,121,326
1475158905930DSC06909.png,27,610,71,378
JPEG_20161129_153427_1000334426091.png,127,514,8,480
JPEG_20161205_161713_1000651943559.png,183,409,49,480
JPEG_20161125_170315_1000447841657.png,181,438,98,438
1478971286066Soie9thNov20162288.png,57,587,162,319
JPEG_20160704_105452_100066371561.png,30,611,164,336
JPEG_20161124_172119_1000765574958.png,191,443,31,418
1474638820437DSC06363.png,250,443,24,418
JPEG_20160711_173916_1000530656867.png,251,430,29,454
1472818367545DSC_2874.png,22,607,29,436
1479737082099DSC_1153.png,8,640,125,317
147443851707711471842850363-Roadster-Men-Shirts-5431471842850124-1.png,4,638,65,416
JPEG_20160624_150916_1000300763521.png,175,425,130,380
147771813164020161028_161852.png,26,585,95,349
147445023060211472725177084-Roadster-Women-Blue-Solid-Regular-Fit-Regular-8731472725176967-2.png,1,638,55,414
1475007383989DSC022461.png,95,572,14,480
1473329435686SAB0023826001S039_det_4.png,56,575,122,344
JPEG_20161117_112906_1000316809468.png,97,522,38,458
1475318826990wine-kyla-midi-bodycon-dress2.png,1,637,149,335
JPEG_20161120_161044_100032006293.png,272,418,0,480
14714465378112.png,30,603,68,407
JPEG_20161129_171127_1000213157732.png,25,535,6,480
1480516425258E-mazingshawls29-11-201618303.png,43,610,154,348
1476882311088Untitled1.png,84,551,21,460
1474281673428heather-grey-katiana-tiered-day-dress2.png,1,637,87,373
